"CATEGORY_ID","CATEGORY_NAME"
1,"BASEPLATES"
2,"BRICKS PRINTED"
3,"BRICKS SLOPED"
4,"DUPLO, QUATRO AND PRIMO"
5,"BRICKS SPECIAL"
6,"BRICKS WEDGED"
7,"CONTAINERS"
8,"TECHNIC BRICKS"
9,"PLATES SPECIAL"
10,"TILES PRINTED"
11,"BRICKS"
12,"TECHNIC CONNECTORS"
13,"MINIFIGS"
14,"PLATES"
15,"TILES SPECIAL"
16,"WINDOWS AND DOORS"
17,"NON-LEGO"
18,"HINGES, ARMS AND TURNTABLES"
19,"TILES"
20,"BRICKS ROUND AND CONES"
21,"PLATES ROUND AND DISHES"
22,"PNEUMATICS"
23,"PANELS"
24,"OTHER"
25,"TECHNIC STEERING, SUSPENSION AND ENGINE"
26,"TECHNIC SPECIAL"
27,"MINIFIG ACCESSORIES"
28,"PLANTS AND ANIMALS"
29,"WHEELS AND TYRES"
30,"TUBES AND HOSES"
31,"STRING, BANDS AND REELS"
32,"BARS, LADDERS AND FENCES"
33,"ROCK"
34,"SUPPORTS, GIRDERS AND CRANES"
35,"TRANSPORTATION - SEA AND AIR"
36,"TRANSPORTATION - LAND"
37,"BRICKS CURVED"
38,"FLAGS, SIGNS, PLASTICS AND CLOTH"
39,"MAGNETS AND HOLDERS"
40,"TECHNIC PANELS"
41,"BIONICLE, HERO FACTORY AND CONSTRACTION"
42,"BELVILLE, SCALA AND FABULAND"
43,"ZNAP"
44,"MECHANICAL"
45,"POWER FUNCTIONS, MINDSTORMS AND ELECTRIC"
46,"TECHNIC AXLES"
47,"WINDSCREENS AND FUSELAGE"
48,"CLIKITS"
49,"PLATES ANGLED"
50,"HO SCALE"
51,"TECHNIC BEAMS"
52,"TECHNIC GEARS"
53,"TECHNIC PINS"
54,"TECHNIC BUSHES"
55,"TECHNIC BEAMS SPECIAL"
56,"TOOLS"
57,"NON-BUILDABLE FIGURES (DUPLO, FABULAND, ETC)"
