"PART_NUMBER","PART_NAME","CATEGORY_ID"
"0687b1","SET 0687 ACTIVITY BOOKLET 1",17
"0901","BASEPLATE 16 X 30 WITH SET 080 YELLOW HOUSE PRINT",1
"0902","BASEPLATE 16 X 24 WITH SET 080 SMALL WHITE HOUSE PRINT",1
"0903","BASEPLATE 16 X 24 WITH SET 080 RED HOUSE PRINT",1
"0904","BASEPLATE 16 X 24 WITH SET 080 LARGE WHITE HOUSE PRINT",1
"1","HOMEMAKER BOOKCASE 2 X 4 X 4",7
"10","BASEPLATE 24 X 32",1
"10016414","STICKER SHEET #1 FOR 41055-1",17
"10019stk01","STICKER FOR SET 10019 - (43274/4170393)",17
"10026stk01","STICKER FOR SET 10026 - (44942/4184185)",17
"10029stk01","STICKER FOR SET 10029 - (4216816)",17
"10036stk01","STICKER FOR SET 10036 - (821407)",17
"10039","PULLBACK MOTOR 8 X 4 X 2/3",44
"10048","MINIFIG HAIR TOUSLED",13
"10049","MINIFIG SHIELD BROAD WITH SPIKED BOTTOM AND CUTOUT CORNER",27
"10049pr0001","MINIFIG SHIELD BROAD WITH SPIKED BOTTOM AND CUTOUT CORNER WITH HANDPRINT PRINT",27
"10050","MINIFIG SWORD [URUK-HAI]",27
"10051","MINIFIG HELMET CASTLE WITH LATERAL COMB [URUK-HAI]",27
"10051pr01","MINIFIG HELMET CASTLE WITH LATERAL COMB AND HANDPRINT PRINT",27
"10052","MINIFIG BEARD, ROUNDED END [GANDALF]",27
"10053","MINIFIG SWORD SMALL",27
"10054","MINIFIG HELMET - ROHAN STYLE CASTLE WITH CHEEK PROTECTION AND HORSEHEAD COMB",27
"10054pr0001","MINIFIG HELMET - ROHAN STYLE WITH CHEEK PROTECTION, HORSEHEAD COMB AND EOMER PRINT",27
"10054pr0002","MINIFIG HELMET - ROHAN CHEEK PROTECTION AND THEODEN PRINT",27
"10055","MINIFIG HAIR LONG STRAIGHT WITH ELF EARS [PLAIN]",27
"10055pr0001","MINIFIG HAIR LONG STRAIGHT WITH LIGHT FLESH ELF EARS PRINT",27
"10056","MINIFIG HELMET CASTLE WITH CHEEK PROTECTION [PLAIN]",24
"10056pr0001","MINIFIG HELMET CASTLE WITH CHEEK PROTECTION AND DARK RED ORNAMENTS PRINT",27
"10057","BODY / HEAD GOLLUM",13
"10057pr0001","BODY / HEAD GOLLUM - WIDE EYES",13
"10057pr0002","BODY / HEAD GOLLUM - NARROW EYES",13
"10058","ARM, BENT [GOLLUM]",13
"10061","ARM GOBLIN KING, LEFT",13
"10062","HAND CAVE TROLL, LEFT",13
"10063","ARM GOBLIN KING, RIGHT",13
"10064","HAND CAVE TROLL, RIGHT",13
"10065","MINIFIG BEARD - FULL WITH BRAIDED MOUSTACHE ENDS",13
"10066","MINIFIG HAIR ORC [PLAIN]",24
"10066pr0001","MINIFIG HAIR ORC WITH DARK TAN EARS PRINT",13
"10066pr0002","MINIFIG HAIR ORC WITH OLIVE GREEN EARS PRINT",13
"10066pr0003","MINIFIG HAIR ORC WITH MEDIUM DARK FLESH EARS PRINT",13
"10075cdb01","PAPER, CARDBOARD BACKDROP FOR SET 10075 SPIDER-MAN ACTION PACK",17
"10111","ADULT FIGURE W/HEADSET",4
"10111apr0006","ADULT FIGURE W/HEADSET (YELLOW) NO. 6",57
"10113","MINIFIG BATMAN MASK WITH ANGULAR EARS AND PRONOUNCED BROW",13
"10113pr0001","MASK, BATMAN, NO. 1 WITH BAT PRINT",27
"10113pr0002","MASK BATMAN WITH CRACK PRINT",27
"10119","DUPLO BRICK 2 X 10 X 2 ARCH WITH GOLD VINES WITH LEAVES AND 'C' IN SHIELD PRINT",4
"10124","ARM GIANT, RIGHT",13
"10124pr0001","ARM GIANT, RIGHT WITH BLUE DARKSEID PRINT",13
"10126","HAND HULK - RIGHT",13
"10127","HAND HULK - LEFT",13
"10127stk01","STICKER FOR SET 10127 - SHEET 1, PRIMARILY EASTERN TEAMS (47852/4210596)",17
