"SET_PREFIX","SET_POSTFIX","SET_NAME","SET_YEAR","SET_THEME","NUMBER_OF_PARTS"
"00","1","WEETABIX CASTLE",1970,"414",471
"0011","2","TOWN MINI-FIGURES",1978,"84",12
"0011","3","CASTLE 2 FOR 1 BONUS OFFER",1987,"199",2
"0012","1","SPACE MINI-FIGURES",1979,"143",12
"0013","1","SPACE MINI-FIGURES",1979,"143",12
"0014","1","SPACE MINI-FIGURES",1979,"143",12
"0015","1","SPACE MINI-FIGURES",1979,"143",18
"0016","1","CASTLE MINI FIGURES",1978,"186",15
"00","2","WEETABIX PROMOTIONAL HOUSE 1",1976,"413",147
"00","3","WEETABIX PROMOTIONAL HOUSE 2",1976,"413",149
"00","4","WEETABIX PROMOTIONAL WINDMILL",1976,"413",126
"005","1","BASIC BUILDING SET IN CARDBOARD",1965,"366",35
"00","6","SPECIAL OFFER",1985,"67",3
"00","7","WEETABIX PROMOTIONAL LEGO VILLAGE",1976,"413",3
"010","1","BASIC BUILDING SET IN CARDBOARD",1965,"366",57
"010","3","BASIC BUILDING SET",1968,"366",77
"011","1","BASIC BUILDING SET",1968,"366",145
"022","1","BASIC BUILDING SET",1968,"366",110
"03093","1","THE RACE TO BUILD IT BOARD GAME",1999,"502",70
"033","2","BASIC BUILDING SET",1968,"366",177
"044","1","BASIC BUILDING SET",1968,"366",225
"055","2","BASIC BUILDING SET",1968,"366",256
"066","1","BASIC BUILDING SET",1968,"366",407
"080","1","BASIC BUILDING SET WITH TRAIN",1967,"366",710
"088","1","SUPER SET",1969,"469",615
"10000","1","GUARDED INN",2001,"186",256
"10001","1","METROLINER",2001,"233",785
"10002","1","RAILROAD CLUB CAR",2001,"233",272
"10003","1","1 X 2 SAND RED BRICKS",2001,"254",100
"10004","1","2 X 2 SAND RED BRICKS",2001,"254",100
"10005","1","2 X 4 SAND RED BRICKS",2001,"254",50
"10006","1","1 X 6 SAND RED BRICKS",2001,"254",50
"10007","1","2 X 4 SAND RED RIDGE ROOF TILES STEEP SLOPE",2001,"254",25
"10008","1","2 X 4 ROOF TILE SAND RED",2001,"254",50
"10009","1","ASSORTED BLUE BRICKS",2001,"254",62
"100","1","4.5V MOTOR WITH WHEELS (SMALL VERSION)",1966,"243",16
"10010","1","ASSORTED YELLOW BRICKS",2003,"254",63
"10011","1","ASSORTED BLUE PLATES",2001,"254",42
"10012","1","ASSORTED YELLOW PLATES",2001,"254",42
"10013","1","OPEN FREIGHT WAGON",2001,"238",121
"10014","1","CABOOSE",2001,"238",170
"10015","1","PASSENGER WAGON",2001,"238",194
"10016","1","TANKER",2001,"238",128
"10017","1","HOPPER WAGON",2001,"238",228
"10018","1","DARTH MAUL",2001,"158",1868
"10019","1","REBEL BLOCKADE RUNNER - UCS",2001,"174",1747
"100","2","4.5V MOTOR WITH WHEELS (LARGE VERSION)",1966,"243",27
"10020","1","SANTA FE SUPER CHIEF, NOT THE LIMITED EDITION",2002,"236",427
"10020","2","SANTA FE SUPER CHIEF, LIMITED EDITION",2002,"236",433
"10021","1","U.S.S. CONSTELLATION",2003,"404",974
"10022","1","SANTA FE CARS - SET II (DINING, OBSERVATION, OR SLEEPING CAR)",2002,"237",410
"10023","1","MASTER BUILDER SET",2002,"324",112
"10024","1","RED BARON",2002,"276",669
"10025","1","SANTA FE CARS - SET I (MAIL OR BAGGAGE CAR)",2002,"237",325
"10026","1","NABOO STARFIGHTER - UCS",2002,"172",187
"10027","1","TRAIN ENGINE SHED",2003,"239",670
"10029","1","LUNAR LANDER",2003,"387",468
"10030","1","IMPERIAL STAR DESTROYER - UCS",2002,"174",3115
"10036","1","PIZZA TO GO",2002,"75",150
"10037","1","BREEZEWAY CAFE",2002,"75",194
"10039","1","BLACK FALCON'S FORTRESS",2002,"186",431
"10040","1","BLACK SEAS BARRACUDA",2002,"147",914
"10041","1","MAIN STREET, REISSUE",2003,"85",639
"10042","1","AMERICAN FLAG",2003,"206",35
"10043","1","2X2 ELECTRICAL PLATE",2002,"254",1
"10044","1","WINDOWS AND DOORS",2002,"254",44
"10045","1","PILLARS AND BEAMS",2002,"254",13
"10046","1","BROWN TILES",2002,"254",100
"10047","1","LIGHT GRAY ARCHES",2002,"254",36
"10048","1","SMALL WHEELS AND AXLES",2002,"254",61
"10049","1","LARGE WHEELS AND AXLES",2002,"254",31
"10050","1","GRAY FENCES",2002,"254",34
"10051","1","TRANSPARENT BRICKS",2002,"254",50
"10053","1","BLACK SLOPES 33",2003,"254",44
"10054","1","BLACK SLOPES 33 3 X 2 AND 3 X 4",2003,"254",68
"10055","1","BLACK SLOPES 33 3 X 1 AND 3 X 3",2003,"254",50
"10056","1","WHITE PLATES 2 X N",2002,"254",56
"10057","1","BLACK PLATES 2 X N",2002,"254",56
"10058","1","RED PLATES 2 X N",2002,"254",56
"10059","1","DARK GREEN PLATES 2 X N",2002,"254",56
"10060","1","LIGHT GRAY PLATES 2 X N",2002,"254",56
"10061","1","BLACK PLATES 1 X N",2002,"254",84
"10062","1","RED PLATES 1 X N",2002,"254",84
"10063","1","DARK GREEN PLATES 1 X N",2002,"254",84
"10064","1","LIGHT GRAY PLATES 1 X N",2002,"254",84
"10065","1","WHITE PLATES 1 X N",2002,"254",84
"10066","1","CASTLE ACCESSORIES",2002,"255",41
"10067","1","MINI-FIG HEADGEAR",2002,"254",53
"10068","1","SANTA CLAUS",2002,"227",39
"10069","1","CHRISTMAS TREE",2002,"227",33
"10070","1","REINDEER",2002,"227",26
"10071","1","MR. BUNNY",2003,"229",25
"10072","1","TECHNIC BEAMS",2003,"256",56
"10073","1","BUSHES",2003,"256",130
"10074","1","CROSS AXLES",2003,"256",68
"10075","1","SPIDER-MAN ACTION PACK",2002,"488",25
"10076","1","TECHNIC GEAR WHEELS",2002,"256",38
"10077","1","TECHNIC MOTOR",2003,"256",55
"10078","1","TRAIN CONNECTION WIRE",2003,"257",1
"10079","1","SNOWMAN",2003,"227",42
"10080","1","ANGEL",2003,"227",33
"10081","1","BIRTHDAY PACK HEART",2004,"500",70
"10082","1","BIRTHDAY PACK DAISY",2004,"500",70
"10083","1","BIRTHDAY PACK STAR",2004,"500",70
"10090","1","TURKEY",2003,"231",54
"10106","1","SNOWFLAKE",2006,"227",107
"101","1","4.5V BATTERY CASE",1969,"243",1
"10111","1","FOLIFEROUS TREE",2001,"254",10
"10112","1","BUSH",2001,"254",25
"10113","1","CYPRESS TREES",2001,"254",5
"10114","1","2 X 2 SAND RED ROOF TILES",2001,"254",100
"10115","1","JUMPER BRICKS",2001,"254",80
"10116","1","ACCESSORIES HEART",2004,"500",50
"10117","1","ACCESSORIES DAISY",2004,"500",50
"10118","1","ACCESSORIES STAR",2004,"500",50
"10121","1","NBA BASKETBALL TEAMS",2003,"459",16
"10123","1","CLOUD CITY",2003,"169",707
"10124","1","WRIGHT FLYER",2003,"276",663
"10127","1","NHL ACTION SET WITH STICKERS",2003,"461",56
"10128","1","TRAIN LEVEL CROSSING",2003,"239",326
"10129","1","REBEL SNOWSPEEDER - UCS",2003,"174",1456
"101","3","4.5V BATTERY CASE",1966,"243",1
"10131","1","TIE FIGHTER COLLECTION",2004,"169",688
"10132","1","MOTORIZED HOGWARTS EXPRESS",2004,"246",693
"10133","1","BURLINGTON NORTHERN SANTA FE LOCOMOTIVE",2004,"236",400
"10134","1","Y-WING ATTACK STARFIGHTER - UCS",2004,"174",1487
"10143","1","DEATH STAR II",2005,"174",3460
"10144","1","SANDCRAWLER",2005,"169",1679
"10145","1","ASSORTED LIGHT GRAY BRICKS",2004,"254",124
"10146","1","ASSORTED DARK GRAY BRICKS",2004,"254",62
"10147","1","ASSORTED BROWN BRICKS",2004,"254",62
"10148","1","ASSORTED LIGHT GRAY PLATES",2004,"254",84
"10149","1","ASSORTED DARK GRAY PLATES",2004,"254",42
