"THEME_ID","THEME_NAME","THEME_PARENT_ID"
1,"TECHNIC",
2,"ARCTIC TECHNIC",1
3,"COMPETITION",1
4,"EXPERT BUILDER",1
5,"MODEL",1
6,"AIRPORT",5
7,"CONSTRUCTION",5
8,"FARM",5
9,"FIRE",5
10,"HARBOR",5
11,"OFF-ROAD",5
12,"RACE",5
13,"RIDING CYCLE",5
14,"ROBOT",5
15,"TRAFFIC",5
16,"ROBORIDERS",1
17,"SPEED SLAMMERS",1
18,"STAR WARS",1
19,"SUPPLEMENTAL",1
20,"THROWBOT SLIZER",1
21,"UNIVERSAL BUILDING SET",1
22,"CREATOR",
23,"BASIC MODEL",22
24,"AIRPORT",23
25,"CASTLE",23
26,"CONSTRUCTION",23
27,"RACE",23
28,"HARBOR",23
29,"TRAIN",23
30,"TRAFFIC",23
31,"CREATURE",23
32,"ROBOT",23
33,"FOOD & DRINK",23
34,"BUILDING",23
35,"CARGO",23
36,"FIRE",23
37,"BASIC SET",22
38,"MODEL",22
39,"TRAFFIC",38
40,"CREATURE",38
41,"RIDING CYCLE",38
42,"AIRPORT",38
43,"BUILDING",38
44,"RECREATION",38
45,"CARGO",38
46,"HARBOR",38
47,"FIRE",38
48,"SUPPLEMENTAL",22
49,"MECHA",22
50,"TOWN",
51,"ARCTIC",50
52,"CITY",50
53,"AIRPORT",52
54,"CARGO",52
55,"COAST GUARD",52
56,"CONSTRUCTION",52
57,"FARM",52
58,"FIRE",52
59,"HARBOR",52
60,"HOSPITAL",52
61,"POLICE",52
62,"SUPPLEMENTAL",52
63,"TRAFFIC",52
64,"OFF-ROAD",52
65,"ARCTIC",52
66,"TRAINS",52
67,"CLASSIC TOWN",50
68,"AIRPORT",67
69,"BUILDING",67
70,"CARGO",67
71,"COAST GUARD",67
72,"CONSTRUCTION",67
73,"FARM",67
74,"FIRE",67
75,"FOOD & DRINK",67
76,"STATION",67
77,"HARBOR",67
78,"HOSPITAL",67
79,"OFF-ROAD",67
80,"POLICE",67
81,"POST OFFICE",67
82,"RACE",67
83,"RECREATION",67
84,"SUPPLEMENTAL",67
85,"TRAFFIC",67
86,"DIVERS",50
87,"EXTREME TEAM",50
88,"LAUNCH COMMAND",50
89,"OUTBACK",50
90,"PARADISA",50
91,"RACE",50
92,"RES-Q",50
93,"SPACE PORT",50
94,"TOWN JR.",50
95,"CARGO",94
96,"COAST GUARD",94
97,"CONSTRUCTION",94
98,"FIRE",94
99,"GAS STATION",94
100,"POLICE",94
101,"RACE",94
102,"SUPPLEMENTAL",94
103,"TRAFFIC",94
104,"TOWN PLAN",50
105,"WORLD CITY",50
106,"AIRPORT",105
107,"COAST GUARD",105
108,"FIRE",105
109,"FOOD & DRINK",105
110,"HARBOR",105
111,"POLICE",105
112,"RACERS",
113,"DROME RACERS",112
114,"FERRARI",112
115,"LAMBORGHINI",112
116,"POWER RACERS",112
117,"RADIO CONTROL",112
118,"SPEED RACER",112
119,"SUPPLEMENTAL",112
120,"TINY TURBOS",112
121,"TRACK SYSTEM",112
122,"WILLIAMS F1",112
123,"WORLD RACERS",112
124,"SUPPLEMENTAL",123
125,"XALAX",112
126,"SPACE",
127,"ALIEN CONQUEST",126
128,"BLACKTRON I",126
129,"BLACKTRON II",126
130,"CLASSIC SPACE",126
131,"EXPLORIENS",126
132,"FUTURON",126
133,"ICE PLANET 2002",126
134,"INSECTOIDS",126
135,"LIFE ON MARS",126
136,"M:TRON",126
137,"MARS MISSION",126
138,"ROBOFORCE",126
139,"SPACE POLICE I",126
140,"SPACE POLICE II",126
141,"SPACE POLICE III",126
142,"SPYRIUS",126
143,"SUPPLEMENTAL",126
144,"UFO",126
145,"UNITRON",126
146,"GALAXY SQUAD",126
147,"PIRATES",
148,"PIRATES I",147
149,"IMPERIAL ARMADA",148
150,"IMPERIAL GUARDS",148
151,"IMPERIAL SOLDIERS",148
152,"ISLANDERS",148
153,"PIRATES II",147
154,"PIRATES III",147
155,"MODULAR BUILDINGS",
156,"MINI",155
157,"BRICKTOBER",155
158,"STAR WARS",
159,"MINI",158
